"[""https://content.onliner.by/news/main/92e29f4a05967b579f23b18b6489c86c.jpeg"", ""Читательница Onliner Карина Комиссарчик отвечает на ваши вопросы о жизни в США""]","Серия экспериментальных выпусков рубрики «Мнения» продолжается. Месяц назад вы могли задать вопросы белоруске, живущей в Варшаве, а сегодня о своей жизни за рубежом готова рассказать наша соотечественница Карина, находящаяся на противоположном конце планеты, в США.",
"[""https://content.onliner.by/news/submain/9df14e022b190d9d58dac9eae32a8b05.jpeg"", ""У браконьера из Докшиц нашли части миномета""]","Сотрудники Витебской областной инспекции охраны животного и растительного мира задержали браконьера, который охотился на территории Березинского заповедника. Задержанным оказался житель Докшиц, в доме которого в ходе обыска обнаружили солидный арсенал.",
"[""https://content.onliner.by/news/submain/152582ebeb22d3e5ed5ce5d243782374.png"", ""Румас о зарплате на 2019 год: не менее 1025 рублей средняя, 820 у бюджетников""]","Сегодня президент страны Александр Лукашенко проводил большое совещание по экономике, на котором раскритиковал правительство. После него премьер-министр Сергей Румас рассказал, на какую среднюю зарплату в будущем рассчитывать стране.",
"[""https://content.onliner.by/news/submain/6413a219045108be367b933bb20bd984.jpeg"", ""Нацбанк: «Мы ожидаем выхода на однозначную величину по ставке рефинансирования в следующем году»""]","Об этом заявил глава Национального банка Павел Каллаур. По его словам, в будущем году регулятор видит возможность снижения ставки рефинансирования. Правда, с оговоркой: все будет зависеть от того, как сработает экономика страны в целом: какое будет состояние платежного баланса и внешних условий.",
"[""https://content.onliner.by/news/submain/7760eb88ec14ceabb2eade4ef001d8bd.jpeg"", ""Двое белорусов пропали в Москве: один вышел на связь спустя месяц, второго не могут найти до сих пор""]","24-летний Денис Зинчук из деревни Осовцы Дрогичинского района работал на автомойке в Москве. С 17 октября парень перестал выходить на связь. К счастью, сегодня он нашелся. А вот кобринчанин Александр Грабович на связь перестал выходить 6 октября, и до сих пор родные и близкие мужчины ничего о нем не знают.",
"[""https://content.onliner.by/news/submain/38199b357e38faf7d0c3fc971ecdcbf2.jpeg"", ""Ford протаранил забор дома и въехал в теплицу. Водитель в реанимации: он не был пристегнут ремнем""]","В ГАИ Гродненской области сообщили о серьезном ДТП, которое случилось в Мостовском районе утром 24 ноября. Автомобиль Ford двигался по автодороге Гродно — Ружаны — Ивацевичи в направлении деревни Глядовичи. По предварительной информации, водитель не справился с управлением, врезался в металлическое ограждение жилого дома и каркас теплицы.",
"[""https://content.onliner.by/news/main/11193a6cd6135225bd133460605ac8bc.jpeg"", ""Тест-драйв из Техаса: пытаемся понять, как Mercedes GLE обманывает физику""]","Костер, молодая кантри-певица, мясные рулеты с острым перцем, повар-ковбой. Я в Техасе. В 10 километрах от мексиканской границы и 10 тысячах километров от дома. В Ладжитас люди приезжают с одной целью — посетить национальный парк Big Bend. Но мы здесь еще для того, чтобы познакомиться с самым новым премиум-кроссовером E-класса — Mercedes GLE.",
"[""https://content.onliner.by/news/submain/50f9af2650b16afe3c29fbf1428c299b.jpeg"", ""Пьяный водитель сумел отъехать от двора всего на 50 метров, пока не врезался во встречный транспорт""]","Понедельник, разгар рабочего дня. В Минске с дворовой территории выезжает автомобиль Toyota. Водитель проезжает всего ничего, затем по непонятной причине выезжает на встречную полосу и врезается во встречный транспорт. На место прибыл экипаж ГАИ, водителя усадили в служебный автомобиль.",
"[""https://content.onliner.by/news/submain/94a38fa707d40845a879360f2c0acba4.jpeg"", ""Под Малоритой «бесправник» на Audi опрокинул трактор, оба водителя госпитализированы""]","В ГАИ Брестской области сообщили о ДТП, которое случилось 24 ноября примерно в 9:00 в Малоритском районе. Автомобиль Audi 100 врезался в трактор. От удара трактор опрокинулся на бок. Оба водителя пострадали и были доставлены в больницу.",
"[""https://content.onliner.by/news/submain/e27c58a209be0c0b2aa69fde14ca9613.jpeg"", ""Водитель Uber отказался выполнять заказ клиентки, потому что был в плохом настроении?""]","В Минске, оказывается, не всегда легко воспользоваться сервисами, которые широко распространены по всему миру. Вот, к примеру, Uber. Казалось бы, все очень просто: воспользовался приложением, прошла оплата с банковской карты — удобно. Обычно это работает, но случается, что приезжает водитель в плохом настроении.",
